peer,KPI,sort,Product,Hierarchy 1,average,Value,Rank,last,group,Code
Dashboarding-focused products,Project length,4,Pyramid Analytics,Business value,7.004184792,8.515151515,5,,2,
Dashboarding-focused products,Project length,4,QlikView,Business value,7.004184792,7.017391304,10,,2,
Dashboarding-focused products,Project length,4,SAP BO Design St.,Business value,7.004184792,4.12,17,,2,
Dashboarding-focused products,Project length,4,Sisense,Business value,7.004184792,8.548148148,4,,2,
Dashboarding-focused products,Project length,4,Tableau,Business value,7.004184792,7.694117647,9,,2,
Dashboarding-focused products,Project length,4,TARGIT,Business value,7.004184792,8.185185185,7,,2,
Dashboarding-focused products,Project length,4,TIBCO Spotfire,Business value,7.004184792,5.177777778,15,,2,
Dashboarding-focused products,Project length,4,Zoho Reports,Business value,7.004184792,9.916239316,2,,2,
Dashboarding-focused products,Customer satisfaction,5,BOARD,Customer satisfaction,6.962041314,6.942036565,10,,1,
Dashboarding-focused products,Customer satisfaction,5,Chartio,Customer satisfaction,6.962041314,6.655008747,13,,1,
Dashboarding-focused products,Customer satisfaction,5,Cubeware,Customer satisfaction,6.962041314,5.685119508,17,,1,
Dashboarding-focused products,Customer satisfaction,5,CXO-Cockpit,Customer satisfaction,6.962041314,8.73074898,2,,1,
Dashboarding-focused products,Customer satisfaction,5,DigDash,Customer satisfaction,6.962041314,6.584142337,14,,1,
Dashboarding-focused products,Customer satisfaction,5,Dimensional Insight,Customer satisfaction,6.962041314,9.047822945,1,,1,
Dashboarding-focused products,Customer satisfaction,5,Domo,Customer satisfaction,6.962041314,7.19606359,7,,1,
Dashboarding-focused products,Customer satisfaction,5,Dundas,Customer satisfaction,6.962041314,7.753434304,5,,1,
Dashboarding-focused products,Customer satisfaction,5,Entrinsik,Customer satisfaction,6.962041314,7.310322036,6,,1,
Dashboarding-focused products,Customer satisfaction,5,Longview Analytics,Customer satisfaction,6.962041314,6.90165811,11,,1,
Dashboarding-focused products,Customer satisfaction,5,MS Power BI,Customer satisfaction,6.962041314,7.097074421,8,,1,
Dashboarding-focused products,Customer satisfaction,5,Pyramid Analytics,Customer satisfaction,6.962041314,8.207053691,4,,1,
Dashboarding-focused products,Customer satisfaction,5,QlikView,Customer satisfaction,6.962041314,6.582583678,15,,1,
Dashboarding-focused products,Customer satisfaction,5,SAP BO Design St.,Customer satisfaction,6.962041314,4.661293705,19,,1,
Dashboarding-focused products,Customer satisfaction,5,Sisense,Customer satisfaction,6.962041314,6.745965522,12,,1,
Dashboarding-focused products,Customer satisfaction,5,Tableau,Customer satisfaction,6.962041314,5.909815356,16,,1,
Dashboarding-focused products,Customer satisfaction,5,TARGIT,Customer satisfaction,6.962041314,8.335332934,3,,1,
Dashboarding-focused products,Customer satisfaction,5,TIBCO Spotfire,Customer satisfaction,6.962041314,4.897145736,18,,1,
Dashboarding-focused products,Customer satisfaction,5,Zoho Reports,Customer satisfaction,6.962041314,7.036162798,9,,1,
Dashboarding-focused products,Price-to-value,6,BOARD,Customer satisfaction,7.9524547,7.545858171,15,,2,
Dashboarding-focused products,Price-to-value,6,Chartio,Customer satisfaction,7.9524547,8.620594768,6,,2,
Dashboarding-focused products,Price-to-value,6,Cubeware,Customer satisfaction,7.9524547,8.262716291,9,,2,
Dashboarding-focused products,Price-to-value,6,CXO-Cockpit,Customer satisfaction,7.9524547,7.843329908,13,,2,
Dashboarding-focused products,Price-to-value,6,DigDash,Customer satisfaction,7.9524547,8.180784405,11,,2,
Dashboarding-focused products,Price-to-value,6,Dimensional Insight,Customer satisfaction,7.9524547,9.17368962,4,,2,
Dashboarding-focused products,Price-to-value,6,Domo,Customer satisfaction,7.9524547,8.672001175,5,,2,
Dashboarding-focused products,Price-to-value,6,Dundas,Customer satisfaction,7.9524547,8.380698206,8,,2,
Dashboarding-focused products,Price-to-value,6,Entrinsik,Customer satisfaction,7.9524547,9.56486847,3,,2,
Dashboarding-focused products,Price-to-value,6,Longview Analytics,Customer satisfaction,7.9524547,7.868723836,12,,2,
Dashboarding-focused products,Price-to-value,6,MS Power BI,Customer satisfaction,7.9524547,9.821230927,1,,2,
Dashboarding-focused products,Price-to-value,6,Pyramid Analytics,Customer satisfaction,7.9524547,9.793422405,2,,2,
Dashboarding-focused products,Price-to-value,6,QlikView,Customer satisfaction,7.9524547,7.333186069,16,,2,
Dashboarding-focused products,Price-to-value,6,SAP BO Design St.,Customer satisfaction,7.9524547,5.661870504,18,,2,
Dashboarding-focused products,Price-to-value,6,Sisense,Customer satisfaction,7.9524547,7.609602114,14,,2,
Dashboarding-focused products,Price-to-value,6,Tableau,Customer satisfaction,7.9524547,6.564909705,17,,2,
Dashboarding-focused products,Price-to-value,6,TARGIT,Customer satisfaction,7.9524547,8.231494247,10,,2,
Dashboarding-focused products,Price-to-value,6,TIBCO Spotfire,Customer satisfaction,7.9524547,3.554779034,19,,2,
Dashboarding-focused products,Price-to-value,6,Zoho Reports,Customer satisfaction,7.9524547,8.412879453,7,,2,
Dashboarding-focused products,Recommendation,7,BOARD,Customer satisfaction,6.815537824,6.89860835,11,,2,
Dashboarding-focused products,Recommendation,7,Chartio,Customer satisfaction,6.815537824,6.874378728,12,,2,
Dashboarding-focused products,Recommendation,7,Cubeware,Customer satisfaction,6.815537824,4.236966262,18,,2,
Dashboarding-focused products,Recommendation,7,CXO-Cockpit,Customer satisfaction,6.815537824,8.03036619,4,,2,
Dashboarding-focused products,Recommendation,7,DigDash,Customer satisfaction,6.815537824,8.419017147,3,,2,
Dashboarding-focused products,Recommendation,7,Dimensional Insight,Customer satisfaction,6.815537824,9.020613163,1,,2,
Dashboarding-focused products,Recommendation,7,Domo,Customer satisfaction,6.815537824,8.463149673,2,,2,
Dashboarding-focused products,Recommendation,7,Dundas,Customer satisfaction,6.815537824,5.497443908,17,,2,
Dashboarding-focused products,Recommendation,7,Entrinsik,Customer satisfaction,6.815537824,7.343096593,6,,2,
